race_id,season,round,race_date,circuit_id
1,2009,1,2009-03-29,1
2,2009,2,2009-04-05,2
3,2009,3,2009-04-19,17
4,2009,4,2009-04-26,3
5,2009,5,2009-05-10,4
6,2009,6,2009-05-24,6
7,2009,7,2009-06-07,5
8,2009,8,2009-06-21,9
9,2009,9,2009-07-12,20
10,2009,10,2009-07-26,11
11,2009,11,2009-08-23,12
12,2009,12,2009-08-30,13
13,2009,13,2009-09-13,14
14,2009,14,2009-09-27,15
15,2009,15,2009-10-04,22
16,2009,16,2009-10-18,18
17,2009,17,2009-11-01,24
18,2008,1,2008-03-16,1
19,2008,2,2008-03-23,2
20,2008,3,2008-04-06,3
21,2008,4,2008-04-27,4
22,2008,5,2008-05-11,5
23,2008,6,2008-05-25,6
24,2008,7,2008-06-08,7
25,2008,8,2008-06-22,8
26,2008,9,2008-07-06,9
27,2008,10,2008-07-20,10
28,2008,11,2008-08-03,11
29,2008,12,2008-08-24,12
30,2008,13,2008-09-07,13
31,2008,14,2008-09-14,14
32,2008,15,2008-09-28,15
33,2008,16,2008-10-12,16
34,2008,17,2008-10-19,17
35,2008,18,2008-11-02,18
36,2007,1,2007-03-18,1
37,2007,2,2007-04-08,2
38,2007,3,2007-04-15,3
39,2007,4,2007-05-13,4
40,2007,5,2007-05-27,6
41,2007,6,2007-06-10,7
42,2007,7,2007-06-17,19
43,2007,8,2007-07-01,8
44,2007,9,2007-07-08,9
45,2007,10,2007-07-22,20
46,2007,11,2007-08-05,11
47,2007,12,2007-08-26,5
48,2007,13,2007-09-09,14
49,2007,14,2007-09-16,13
50,2007,15,2007-09-30,16
51,2007,16,2007-10-07,17
52,2007,17,2007-10-21,18
53,2006,1,2006-03-12,3
54,2006,2,2006-03-19,2
55,2006,3,2006-04-02,1
56,2006,4,2006-04-23,21
57,2006,5,2006-05-07,20
58,2006,6,2006-05-14,4
59,2006,7,2006-05-28,6
60,2006,8,2006-06-11,9
61,2006,9,2006-06-25,7
62,2006,10,2006-07-02,19
63,2006,11,2006-07-16,8
64,2006,12,2006-07-30,10
65,2006,13,2006-08-06,11
66,2006,14,2006-08-27,5
67,2006,15,2006-09-10,14
