race_id,driver_id,constructor_id,position_order,status_id
18,1,1,1,1
18,2,2,2,1
18,3,3,3,1
18,4,4,4,1
18,5,1,5,1
18,6,3,6,11
18,7,5,7,5
18,8,6,8,5
18,9,2,9,4
18,10,7,10,3
18,11,8,11,7
18,12,4,12,8
18,13,6,13,5
18,14,9,14,4
18,15,7,15,10
18,16,10,16,9
18,17,9,17,4
18,18,11,18,4
18,19,8,19,4
18,20,5,20,4
18,21,10,21,4
18,22,11,22,2
19,8,6,1,1
19,9,2,2,1
19,5,1,3,1
19,15,7,4,1
19,1,1,5,1
19,2,2,6,1
19,17,9,7,1
19,4,4,8,1
19,14,9,9,1
19,18,11,10,1
19,12,4,11,1
19,21,10,12,11
19,22,11,13,11
19,3,3,14,11
19,19,8,15,11
19,11,8,16,12
19,6,3,17,12
19,20,5,18,5
19,13,6,19,20
19,16,10,20,9
19,10,7,21,4
19,7,5,22,20
20,13,6,1,1
20,8,6,2,1
20,9,2,3,1
20,2,2,4,1
20,5,1,5,1
20,15,7,6,1
20,17,9,7,1
20,3,3,8,1
20,10,7,9,1
20,4,4,10,1
20,22,11,11,1
20,21,10,12,11
20,1,1,13,11
20,6,3,14,11
20,7,5,15,11
20,19,8,16,11
20,11,8,17,11
20,14,9,18,11
20,16,10,19,12
20,12,4,20,6
20,18,11,21,4
20,20,5,22,5
21,8,6,1,1
21,13,6,2,1
21,1,1,3,1
21,9,2,4,1
21,17,9,5,1
21,18,11,6,1
21,6,3,7,1
21,15,7,8,1
21,2,2,9,1
21,21,10,10,11
21,10,7,11,11
21,14,9,12,11
21,11,8,13,11
21,3,3,14,5
21,4,4,15,5
21,22,11,16,4
21,5,1,17,3
21,19,8,18,21
21,7,5,19,4
21,12,4,20,4
21,16,10,21,4
21,20,5,22,4
22,13,6,1,1
22,1,1,2,1
22,8,6,3,1
22,9,2,4,1
22,2,2,5,1
22,4,4,6,1
22,17,9,7,1
22,3,3,8,1
22,14,9,9,1
22,15,7,10,1
22,18,11,11,11
22,5,1,12,11
22,10,7,13,11
22,22,11,14,11
22,12,4,15,11
22,16,10,16,11
22,20,5,17,11
22,7,5,18,22
22,6,3,19,4
22,21,10,20,4
23,1,1,1,1
23,9,2,2,1
23,13,6,3,1
23,17,9,4,1
23,20,5,5,1
23,22,11,6,1
23,6,3,7,1
23,5,1,8,1
23,8,6,9,1
23,4,4,10,11
23,18,11,11,11
23,10,7,12,11
23,15,7,13,11
23,2,2,14,14
23,16,10,15,4
23,3,3,16,3
23,12,4,17,3
23,21,10,18,6
23,14,9,19,3
23,7,5,20,4
24,9,2,1,1
24,2,2,2,1
24,14,9,3,1
24,10,7,4,1
24,13,6,5,1
24,15,7,6,1
24,22,11,7,1
24,20,5,8,1
24,5,1,9,1
24,3,3,10,1
24,18,11,11,1
24,17,9,12,1
24,7,5,13,11
24,21,10,14,20
24,6,3,15,3
24,4,4,16,20
24,12,4,17,23
24,8,6,18,4
24,1,1,19,4
24,16,10,20,6
25,13,6,1,1
25,8,6,2,1
25,15,7,3,1
25,5,1,4,1
25,9,2,5,1
25,17,9,6,1
25,12,4,7,1
25,4,4,8,1
25,14,9,9,1
25,1,1,10,1
25,10,7,11,1
25,20,5,12,1
25,2,2,13,1
25,22,11,14,11
25,6,3,15,11
25,3,3,16,11
25,7,5,17,11
25,21,10,18,11
25,16,10,19,11
25,18,11,20,4
26,1,1,1,1
26,2,2,2,1
26,22,11,3,1
26,8,6,4,11
26,5,1,5,11
26,4,4,6,11
26,15,7,7,11
26,6,3,8,11
26,3,3,9,11
26,17,9,10,11
26,7,5,11,11
26,10,7,12,11
26,13,6,13,12
26,9,2,14,20
26,18,11,15,20
26,12,4,16,20
26,21,10,17,20
26,16,10,18,20
26,20,5,19,4
26,14,9,20,4
27,1,1,1,1
27,12,4,2,1
27,13,6,3,1
27,2,2,4,1
27,5,1,5,1
27,8,6,6,1
27,9,2,7,1
27,20,5,8,1
27,15,7,9,1
27,3,3,10,1
27,4,4,11,1
27,7,5,12,1
27,14,9,13,1
27,6,3,14,1
27,16,10,15,1
27,21,10,16,1
27,18,11,17,11
27,22,11,18,4
27,17,9,19,5
27,10,7,20,22
28,5,1,1,1
28,10,7,2,1
28,8,6,3,1
28,4,4,4,1
28,1,1,5,1
28,12,4,6,1
28,15,7,7,1
28,9,2,8,1
28,17,9,9,1
28,2,2,10,1
28,14,9,11,1
28,18,11,12,11
28,6,3,13,11
28,3,3,14,11
28,21,10,15,11
28,22,11,16,12
28,13,6,17,5
28,7,5,18,13
28,16,10,19,23
28,20,5,20,25
29,13,6,1,1
29,1,1,2,1
29,9,2,3,1
29,5,1,4,1
29,15,7,5,1
29,20,5,6,1
29,10,7,7,1
29,3,3,8,1
29,2,2,9,1
29,7,5,10,1
29,12,4,11,1
29,17,9,12,11
29,18,11,13,11
29,21,10,14,11
29,6,3,15,11
29,22,11,16,11
29,14,9,17,11
29,8,6,18,5
29,16,10,19,3
29,4,4,20,4
30,13,6,1,1
30,2,2,2,1
30,1,1,3,1
30,4,4,4,1
30,20,5,5,1
30,9,2,6,1
30,7,5,7,1
30,17,9,8,1
30,10,7,9,1
30,5,1,10,6
30,14,9,11,11
30,3,3,12,11
30,16,10,13,11
30,6,3,14,11
30,18,11,15,11
30,15,7,16,11
30,21,10,17,11
30,8,6,18,20
30,22,11,19,6
30,12,4,20,20
31,20,5,1,1
31,5,1,2,1
31,9,2,3,1
31,4,4,4,1
31,2,2,5,1
31,13,6,6,1
31,1,1,7,1
31,17,9,8,1
31,8,6,9,1
31,12,4,10,1
31,10,7,11,1
31,6,3,12,1
31,15,7,13,1
31,3,3,14,1
31,18,11,15,1
31,14,9,16,11
31,22,11,17,11
31,7,5,18,11
31,16,10,19,12
31,21,10,20,3
32,4,4,1,1
32,3,3,2,1
32,1,1,3,1
32,10,7,4,1
32,20,5,5,1
32,2,2,6,1
32,14,9,7,1
32,6,3,8,1
32,18,11,9,1
32,5,1,10,1
32,9,2,11,1
32,7,5,12,1
32,13,6,13,1
32,21,10,14,1
32,8,6,15,3
32,15,7,16,9
32,16,10,17,3
32,17,9,18,7
32,22,11,19,26
32,12,4,20,3
33,4,4,1,1
33,9,2,2,1
33,8,6,3,1
33,12,4,4,1
33,15,7,5,1
33,20,5,6,1
33,13,6,7,1
33,17,9,8,1
33,2,2,9,1
33,7,5,10,1
33,3,3,11,1
33,1,1,12,1
33,22,11,13,11
33,18,11,14,11
33,6,3,15,11
33,21,10,16,6
33,5,1,17,5
33,16,10,18,27
33,10,7,19,28
33,14,9,20,4
34,1,1,1,1
34,13,6,2,1
34,8,6,3,1
34,4,4,4,1
34,2,2,5,1
34,9,2,6,1
34,10,7,7,1
34,12,4,8,1
34,20,5,9,1
34,14,9,10,1
34,22,11,11,1
34,6,3,12,1
34,7,5,13,1
34,17,9,14,1
34,3,3,15,11
34,18,11,16,11
34,21,10,17,11
34,5,1,18,9
34,16,10,19,5
34,15,7,20,4
35,13,6,1,1
35,4,4,2,1
35,8,6,3,1
35,20,5,4,1
35,1,1,5,1
35,10,7,6,1
35,5,1,7,1
35,15,7,8,1
35,17,9,9,1
35,2,2,10,11
35,9,2,11,11
35,3,3,12,11
35,18,11,13,11
35,7,5,14,11
35,22,11,15,11
35,16,10,16,12
35,6,3,17,12
35,21,10,18,12
35,12,4,19,3
35,14,9,20,4
36,8,6,1,1
36,4,1,2,1
36,1,1,3,1
36,2,2,4,1
36,21,4,5,1
36,13,6,6,1
36,3,3,7,11
36,23,7,8,11
36,15,7,9,11
36,5,4,10,11
36,22,11,11,11
36,11,8,12,11
36,17,9,13,11
36,24,5,14,11
36,18,11,15,11
36,19,8,16,12
36,16,12,17,12
36,25,3,18,4
36,14,9,19,4
36,9,2,20,6
36,26,5,21,29
36,27,12,22,3
37,4,1,1,1
37,1,1,2,1
37,8,6,3,1
37,2,2,4,1
37,13,6,5,1
37,21,4,6,1
37,15,7,7,1
37,5,4,8,1
37,25,3,9,1
37,17,9,10,1
37,22,11,11,11
37,18,11,12,11
37,11,8,13,11
37,26,5,14,11
37,23,7,15,11
37,19,8,16,11
37,24,5,17,11
37,9,2,18,11
37,3,3,19,9
37,14,9,20,23
37,27,12,21,5
37,16,12,22,4
38,13,6,1,1
38,1,1,2,1
38,8,6,3,1
38,2,2,4,1
38,4,1,5,1
38,9,2,6,1
38,15,7,7,1
38,21,4,8,1
38,5,4,9,1
38,3,3,10,1
38,25,3,11,11
38,23,7,12,11
38,22,11,13,11
38,27,12,14,12
38,16,12,15,14
38,19,8,16,5
38,17,9,17,6
38,14,9,18,30
38,11,8,19,5
38,24,5,20,9
38,18,11,21,4
38,26,5,22,4
39,13,6,1,1
39,1,1,2,1
39,4,1,3,1
39,9,2,4,1
39,14,9,5,1
39,3,3,6,1
39,5,4,7,1
39,11,8,8,11
39,21,4,9,11
39,22,11,10,11
39,19,8,11,11
39,18,11,12,11
39,16,12,13,12
39,27,12,14,12
39,2,2,15,6
39,23,7,16,22
39,24,5,17,31
39,26,5,18,27
39,8,6,19,22
39,15,7,20,32
39,17,9,21,9
39,25,3,22,4
40,4,1,1,1
40,1,1,2,1
40,13,6,3,1
40,21,4,4,11
40,9,2,5,11
40,2,2,6,11
40,25,3,7,11
40,8,6,8,11
40,26,5,9,11
40,22,11,10,11
40,18,11,11,11
40,3,3,12,11
40,5,4,13,5
40,14,9,14,12
40,15,7,15,12
40,23,7,16,12
40,11,8,17,12
40,19,8,18,12
40,27,12,19,30
40,16,12,20,3
40,17,9,21,6
40,24,5,22,3
41,1,1,1,1
41,2,2,2,1
41,25,3,3,1
41,5,4,4,1
41,8,6,5,1
41,11,8,6,1
41,4,1,7,1
41,23,7,8,1
41,17,9,9,1
41,3,3,10,1
41,19,8,11,1
41,22,11,12,1
41,15,7,13,3
41,24,5,14,3
41,27,12,15,33
41,14,9,16,6
41,9,2,17,3
41,16,12,18,3
41,26,5,19,3
41,18,11,20,6
41,13,6,21,2
41,21,4,22,2
42,1,1,1,1
42,4,1,2,1
42,13,6,3,1
42,8,6,4,1
42,5,4,5,1
42,15,7,6,1
42,17,9,7,1
42,20,2,8,1
42,21,4,9,11
42,25,3,10,11
42,19,8,11,11
42,18,11,12,11
42,26,5,13,12
42,16,12,14,12
42,27,12,15,13
42,3,3,16,5
42,24,5,17,34
42,2,2,18,7
42,11,8,19,20
42,14,9,20,4
42,22,11,21,4
42,23,7,22,4
43,8,6,1,1
43,13,6,2,1
43,1,1,3,1
43,9,2,4,1
43,2,2,5,1
43,21,4,6,1
43,4,1,7,1
43,18,11,8,1
43,3,3,9,1
43,23,7,10,11
43,22,11,11,11
43,17,9,12,11
43,14,9,13,11
43,25,3,14,11
43,5,4,15,11
43,11,8,16,12
43,16,12,17,12
43,26,5,18,6
43,27,12,19,35
43,19,8,20,4
43,15,7,21,4
43,24,5,22,4
44,8,6,1,1
44,4,1,2,1
44,1,1,3,1
44,9,2,4,1
44,13,6,5,1
44,2,2,6,1
44,5,4,7,11
44,21,4,8,11
44,22,11,9,11
44,18,11,10,11
44,14,9,11,11
44,3,3,12,11
44,25,3,13,11
44,11,8,14,12
44,27,12,15,12
44,24,5,16,6
44,15,7,17,31
44,19,8,18,26
44,26,5,19,3
44,23,7,20,36
44,16,12,21,5
44,17,9,22,9
45,4,1,1,1
45,13,6,2,1
45,17,9,3,1
45,25,3,4,1
45,14,9,5,1
45,2,2,6,1
45,9,2,7,1
45,5,4,8,11
45,1,1,9,11
45,21,4,10,11
45,22,11,11,11
45,19,8,12,11
45,15,7,13,11
45,8,6,14,9
45,11,8,15,31
45,23,7,16,4
45,28,12,17,9
45,18,11,18,20
45,16,12,19,20
45,3,3,20,20
45,26,5,21,20
45,24,5,22,20
46,1,1,1,1
46,8,6,2,1
46,2,2,3,1
46,4,1,4,1
46,9,2,5,1
46,23,7,6,1
46,3,3,7,1
46,5,4,8,1
46,17,9,9,1
46,15,7,10,11
46,14,9,11,11
46,21,4,12,11
46,13,6,13,11
46,25,3,14,11
46,11,8,15,11
46,20,5,16,11
46,16,12,17,12
46,22,11,18,12
46,24,5,19,10
46,19,8,20,3
46,18,11,21,37
46,29,12,22,3
47,13,6,1,1
47,8,6,2,1
47,4,1,3,1
47,2,2,4,1
47,1,1,5,1
47,5,4,6,1
47,3,3,7,1
47,9,2,8,1
47,21,4,9,1
47,14,9,10,1
47,25,3,11,1
47,23,7,12,11
47,18,11,13,11
47,19,8,14,11
47,24,5,15,11
47,15,7,16,11
47,22,11,17,11
47,11,8,18,11
47,20,5,19,11
47,29,12,20,12
47,16,12,21,32
47,17,9,22,9
48,4,1,1,1
48,1,1,2,1
48,8,6,3,1
48,2,2,4,1
48,9,2,5,1
48,3,3,6,1
48,5,4,7,1
48,18,11,8,1
48,17,9,9,1
48,22,11,10,1
48,15,7,11,1
48,21,4,12,11
48,25,3,13,11
48,19,8,14,11
48,23,7,15,11
48,11,8,16,11
48,24,5,17,11
48,20,5,18,11
48,16,12,19,11
48,29,12,20,11
48,13,6,21,22
48,14,9,22,3
49,8,6,1,1
49,13,6,2,1
49,4,1,3,1
